Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,627104342,8045.430687595469,1948596,24.999498498330883,79137,6567552,84.25836159045282,5251,0.0673676670868335,365,
United States of America,Americas,95946824,28986.724,0,0,0,1059255,320.014,0,0,0
India,South-East Asia,44653592,3235.757,9516,0.69,1326,529024,38.335,47,0.003,8
France,Europe,35723289,54925.647,169664,260.864,0,153243,235.616,445,0.684,0
Germany,Europe,35571131,42770.876,336437,404.533,0,153544,184.622,110,0.132,0
Brazil,Americas,34807075,16375.221,24925,11.726,0,687907,323.63,341,0.16,0
Republic of Korea,Western Pacific,25557309,49849.259,245718,479.27,18510,29176,56.907,176,0.343,18
The United Kingdom,Europe,23898489,35203.853,18863,27.786,0,193673,285.292,88,0.13,0
Italy,Europe,23531023,39454.118,182948,306.746,0,179101,300.296,507,0.85,0
Japan,Western Pacific,22273251,17610.59,265122,209.622,0,46636,36.873,327,0.259,0
Russian Federation,Europe,21429506,14684.336,49242,33.743,5781,390175,267.363,549,0.376,71
Türkiye,Europe,16919638,20061.448,0,0,0,101203,119.995,0,0,0
Spain,Europe,13511768,28546.423,23753,50.183,0,115078,243.126,220,0.465,0
Viet Nam,Western Pacific,11502474,11816.973,5487,5.637,305,43163,44.343,4,0.004,0
Australia,Western Pacific,10364859,40646.691,0,0,0,14738,57.796,0,0,0
Argentina,Americas,9717546,21501.006,0,0,0,129979,287.591,0,0,0
China,Western Pacific,8947493,608.141,254520,17.299,33774,28389,1.93,508,0.035,88
Netherlands,Europe,8511830,48897.248,10650,61.18,0,22811,131.041,38,0.218,0
Iran (Islamic Republic of),Eastern Mediterranean,7557437,8997.704,1340,1.595,73,144571,172.123,27,0.032,0
Mexico,Americas,7108686,5513.483,1821,1.412,0,330353,256.221,22,0.017,0
Indonesia,South-East Asia,6493079,2373.864,20415,7.464,2457,158631,57.995,177,0.065,34
Poland,Europe,6340435,16703.757,5375,14.16,150,118124,311.195,95,0.25,0
Colombia,Americas,6309168,12399.39,0,0,0,141827,278.732,0,0,0
Portugal,Europe,5508839,53505.125,0,0,0,25128,244.058,0,0,0
Austria,Europe,5436721,61079.451,37932,426.151,4260,20979,235.691,57,0.64,1
Ukraine,Europe,5296254,12110.219,16908,38.661,0,110008,251.54,189,0.432,0
Greece,Europe,5135200,47909.398,53219,496.512,0,33574,313.232,148,1.381,0
Malaysia,Western Pacific,4900051,15139.502,17992,55.589,3296,36466,112.668,22,0.068,3
Chile,Americas,4737212,24781.137,22114,115.682,0,61607,322.276,58,0.303,0
Thailand,South-East Asia,4692448,6722.707,2551,3.655,0,32955,47.213,33,0.047,0
Israel,Europe,4683788,54113.174,5635,65.103,952,11763,135.901,1,0.012,0
Belgium,Europe,4612239,40028.319,4756,41.276,0,32902,285.547,22,0.191,0
Canada,Americas,4314718,11432.093,0,0,0,46025,121.946,0,0,0
Switzerland,Europe,4211443,48661.223,3929,45.398,0,13638,157.581,0,0,0
Czechia,Europe,4156923,38871.767,5564,52.029,97,41580,388.818,45,0.421,2
Peru,Americas,4153605,12597.426,1321,4.006,0,216884,657.785,7,0.021,0
South Africa,Africa,4028160,6791.855,2785,4.696,416,102311,172.506,54,0.091,0
Philippines,Western Pacific,4003459,3653.422,8826,8.054,1370,64033,58.434,254,0.232,112
Denmark,Europe,3332764,57236.814,6817,117.075,0,7321,125.731,74,1.271,0
Romania,Europe,3286394,17002.543,3041,15.733,209,67186,347.595,23,0.119,0
Sweden,Europe,2611580,25287.412,2037,19.724,0,20659,200.037,5,0.048,0
Iraq,Eastern Mediterranean,2461247,6119.081,0,0,0,25358,63.044,0,0,0
Serbia,Europe,2403249,34695.414,6737,97.261,495,17235,248.82,49,0.707,7
Hungary,Europe,2141513,21920.337,9023,92.359,0,47938,490.689,140,1.433,0
Singapore,Western Pacific,2099760,35891.235,35597,608.46,3240,1676,28.648,14,0.239,2
Bangladesh,South-East Asia,2035240,1235.805,892,0.542,88,29423,17.866,8,0.005,0
Slovakia,Europe,1852589,33943.424,1277,23.397,37,20606,377.546,42,0.77,5
New Zealand,Western Pacific,1832894,38009.238,21342,442.575,0,2106,43.673,11,0.228,0
Georgia,Europe,1780691,44638.077,0,0,0,16900,423.646,0,0,0
Jordan,Eastern Mediterranean,1746997,17122.161,0,0,0,14122,138.408,0,0,0
Ireland,Europe,1672319,33685.955,637,12.831,0,8043,162.012,33,0.665,0
Pakistan,Eastern Mediterranean,1573725,712.44,406,0.184,0,30624,13.864,1,0,0
Kazakhstan,Europe,1484932,7908.373,295,1.571,16,19052,101.466,0,0,0
Norway,Europe,1464513,27284.419,484,9.017,0,4208,78.397,21,0.391,0
Finland,Europe,1348737,24410.239,5022,90.891,0,6568,118.872,1,0.018,0
Bulgaria,Europe,1278236,18387.964,3900,56.103,121,37860,544.632,39,0.561,0
Lithuania,Europe,1268046,45383.148,2838,101.572,34,9393,336.174,13,0.465,2
Morocco,Eastern Mediterranean,1265589,3428.799,200,0.542,17,16281,44.109,1,0.003,0
Croatia,Europe,1246920,30726.203,2278,56.134,189,17136,422.26,60,1.479,8
Slovenia,Europe,1231922,58778.803,5726,273.205,0,8434,402.412,1,0.048,0
Lebanon,Eastern Mediterranean,1218630,17854.22,548,8.029,0,10705,156.84,6,0.088,0
Tunisia,Eastern Mediterranean,1146152,9697.85,108,0.914,0,29257,247.55,0,0,0
Guatemala,Americas,1138242,6353.368,1715,9.573,0,19878,110.954,12,0.067,0
Costa Rica,Americas,1133096,22243.222,0,0,0,8990,176.478,0,0,0
Cuba,Americas,1111278,9811.209,11,0.097,0,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1109309,9503.187,71,0.608,0,22239,190.516,0,0,0
United Arab Emirates,Eastern Mediterranean,1037347,10488.421,2251,22.759,324,2348,23.74,0,0,0
Ecuador,Americas,1007901,5712.735,218,1.236,0,35913,203.553,5,0.028,0
Nepal,South-East Asia,1000556,3433.993,61,0.209,6,12019,41.25,0,0,0
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Uruguay,Americas,989629,28488.944,0,0,0,7515,216.338,0,0,0
Panama,Americas,989608,22935.375,0,0,0,8506,197.137,0,0,0
Mongolia,Western Pacific,984823,30040.753,346,10.554,0,2131,65.003,0,0,0
Puerto Rico,Americas,978138,34190.432,3432,119.964,0,5248,183.442,15,0.524,0
